Start Time,End Time,BTS Name,Cell ID,BTS IP Address,BSC Name,DL PS Erlangs,UL PS Erlangs,Total Data Calls,Total Downlink Data In KByte,Total Uplink Data In KByte,Downlink Data Throughput In Kbps,Downlink Data Throughput In Kbps - NR,Downlink Data Throughput In Kbps - DR,Uplink Data Throughput In Kbps,Uplink Data Throughput In Kbps - NR,Uplink Data Throughput In Kbps - DR,DL Tbf Drop Rate,DL Tbf Drop Rate - NR,DL Tbf Drop Rate - DR,UL Tbf Drop Rate,UL Tbf Drop Rate - NR,UL Tbf Drop Rate - DR,Egprs Downlink Data Throughput In Kbps,Egprs Downlink Data Throughput In Kbps - NR,Egprs Downlink Data Throughput In Kbps - DR,Egprs Uplink Data Throughput In Kbps,Egprs Uplink Data Throughput In Kbps - NR,Egprs Uplink Data Throughput In Kbps - DR,Gprs Downlink Data Throughput In Kbps,Gprs Downlink Data Throughput In Kbps - NR,Gprs Downlink Data Throughput In Kbps - DR,Gprs Uplink Data Throughput In Kbps,Gprs Uplink Data Throughput In Kbps - NR,Gprs Uplink Data Throughput In Kbps - DR,Downlink Data Retransmission Rate,Downlink Data Retransmission Rate - NR,Downlink Data Retransmission Rate - DR,Uplink Data Retransmission Rate,Uplink Data Retransmission Rate - NR,Uplink Data Retransmission Rate - DR,Gprs Uplink Tbf Blocking Rate,Gprs Uplink Tbf Blocking Rate - NR,Gprs Uplink Tbf Blocking Rate - DR,Gprs Downlink Tbf Blocking Rate,Gprs Downlink Tbf Blocking Rate - NR,Gprs Downlink Tbf Blocking Rate - DR,Egprs Downlink Tbf Blocking Rate,Egprs Downlink Tbf Blocking Rate - NR,Egprs Downlink Tbf Blocking Rate - DR,Egprs Uplink Tbf Blocking Rate,Egprs Uplink Tbf Blocking Rate - NR,Egprs Uplink Tbf Blocking Rate - DR,DL Tbf Establishment Success Rate,DL Tbf Establishment Success Rate - NR,DL Tbf Establishment Success Rate - DR,UL Tbf Establishment Success Rate,UL Tbf Establishment Success Rate - NR,UL Tbf Establishment Success Rate - DR,GprsDownlinkTbfReallocationAttempts,GprsDownlinkTbfReallocationSuccess,GprsUplinkTbfReallocationAttempts,GprsUplinkTbfReallocationSuccess,EgprsDownlinkTbfReallocationAttempts,EgprsDownlinkTbfReallocationSuccess,EgprsUplinkTbfReallocationAttempts,EgprsUplinkTbfReallocationSuccess,DlMcs1Count,DlMcs2Count,DlMcs3Count,DlMcs4Count,DlMcs5Count,DlMcs6Count,DlMcs7Count,DlMcs8Count,DlMcs9Count,UlMcs1Count,UlMcs2Count,UlMcs3Count,UlMcs4Count,UlMcs5Count,UlMcs6Count,UlMcs7Count,UlMcs8Count,UlMcs9Count,DlCs1Count,DlCs2Count,DlCs3Count,DlCs4Count,UlCs1Count,UlCs2Count,UlCs3Count,UlCs4Count,EgprsDl10PercentileMeanThroughput,EgprsDl20PercentileMeanThroughput,EgprsDl30PercentileMeanThroughput,EgprsDl40PercentileMeanThroughput,EgprsDl50PercentileMeanThroughput,EgprsDl60PercentileMeanThroughput,EgprsDl70PercentileMeanThroughput,EgprsDl80PercentileMeanThroughput,EgprsDl90PercentileMeanThroughput,EgprsDl10PercentileMeanLlcFrameDelay,EgprsDl20PercentileMeanLlcFrameDelay,EgprsDl30PercentileMeanLlcFrameDelay,EgprsDl40PercentileMeanLlcFrameDelay,EgprsDl50PercentileMeanLlcFrameDelay,EgprsDl60PercentileMeanLlcFrameDelay,EgprsDl70PercentileMeanLlcFrameDelay,EgprsDl80PercentileMeanLlcFrameDelay,EgprsDl90PercentileMeanLlcFrameDelay,EgprsDl10PercentileSampleSize,EgprsDl20PercentileSampleSize,EgprsDl30PercentileSampleSize,EgprsDl40PercentileSampleSize,EgprsDl50PercentileSampleSize,EgprsDl60PercentileSampleSize,EgprsDl70PercentileSampleSize,EgprsDl80PercentileSampleSize,EgprsDl90PercentileSampleSize,EgprsUl10PercentileMeanThroughput,EgprsUl20PercentileMeanThroughput,EgprsUl30PercentileMeanThroughput,EgprsUl40PercentileMeanThroughput,EgprsUl50PercentileMeanThroughput,EgprsUl60PercentileMeanThroughput,EgprsUl70PercentileMeanThroughput,EgprsUl80PercentileMeanThroughput,EgprsUl90PercentileMeanThroughput,EgprsUl10PercentileSampleSize,EgprsUl20PercentileSampleSize,EgprsUl30PercentileSampleSize,EgprsUl40PercentileSampleSize,EgprsUl50PercentileSampleSize,EgprsUl60PercentileSampleSize,EgprsUl70PercentileSampleSize,EgprsUl80PercentileSampleSize,EgprsUl90PercentileSampleSize,GprsDl10PercentileMeanThroughput,GprsDl20PercentileMeanThroughput,GprsDl30PercentileMeanThroughput,GprsDl40PercentileMeanThroughput,GprsDl50PercentileMeanThroughput,GprsDl60PercentileMeanThroughput,GprsDl70PercentileMeanThroughput,GprsDl80PercentileMeanThroughput,GprsDl90PercentileMeanThroughput,GprsDl10PercentileMeanLlcFrameDelay,GprsDl20PercentileMeanLlcFrameDelay,GprsDl30PercentileMeanLlcFrameDelay,GprsDl40PercentileMeanLlcFrameDelay,GprsDl50PercentileMeanLlcFrameDelay,GprsDl60PercentileMeanLlcFrameDelay,GprsDl70PercentileMeanLlcFrameDelay,GprsDl80PercentileMeanLlcFrameDelay,GprsDl90PercentileMeanLlcFrameDelay,GprsDl10PercentileSampleSize,GprsDl20PercentileSampleSize,GprsDl30PercentileSampleSize,GprsDl40PercentileSampleSize,GprsDl50PercentileSampleSize,GprsDl60PercentileSampleSize,GprsDl70PercentileSampleSize,GprsDl80PercentileSampleSize,GprsDl90PercentileSampleSize,GprsUl10PercentileMeanThroughput,GprsUl20PercentileMeanThroughput,GprsUl30PercentileMeanThroughput,GprsUl40PercentileMeanThroughput,GprsUl50PercentileMeanThroughput,GprsUl60PercentileMeanThroughput,GprsUl70PercentileMeanThroughput,GprsUl80PercentileMeanThroughput,GprsUl90PercentileMeanThroughput,GprsUl10PercentileSampleSize,GprsUl20PercentileSampleSize,GprsUl30PercentileSampleSize,GprsUl40PercentileSampleSize,GprsUl50PercentileSampleSize,GprsUl60PercentileSampleSize,GprsUl70PercentileSampleSize,GprsUl80PercentileSampleSize,GprsUl90PercentileSampleSize,Uplink Tbf Assignment Success Rate,Uplink Tbf Assignment Success Rate - NR,Uplink Tbf Assignment Success Rate - DR,Downlink Tbf Assignment Success Rate,Downlink Tbf Assignment Success Rate - NR,Downlink Tbf Assignment Success Rate - DR,BSS Paging Coordinated Count,PCU Up Time
Sep 25 2023 - 00:00:00,Sep 25 2023 - 00:15:00,ED4859-PCU,48591,10.28.73.18,MNG-KNVVB01,0.29,0.13,358.0,563.0,251.0,12.78,4500.39,352.19,9.75,2010.73,206.32,2.0,2.0,89.0,1.0,3.0,269.0,14.96,3059.86,204.5,9.27,1409.59,152.01,9.75,1440.53,147.69,11.07,601.15,54.31,3.0,387.0,11694.0,0.0,7.0,7736.0,0.0,0.0,188.0,0.0,0.0,21.0,0.0,0.0,73.0,0.0,0.0,85.0,69.0,61.0,89.0,97.0,261.0,269.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5434.0,0.0,0.0,0.0,0.0,0.0,5041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6260.0,0.0,0.0,0.0,0.0,0.0,2702.0,4332.0,4729.0,5260.0,5825.0,6535.0,7710.0,9290.0,12722.0,20946.0,160.0,177.0,203.0,231.0,266.0,320.0,377.0,424.0,452.0,58.0,52.0,45.0,39.0,33.0,26.0,20.0,13.0,7.0,13999.0,15691.0,17825.0,20212.0,24042.0,29827.0,37841.0,55833.0,103866.0,61.0,54.0,47.0,41.0,34.0,27.0,21.0,14.0,7.0,1172.0,1218.0,1248.0,1261.0,1278.0,1291.0,1306.0,1330.0,1385.0,195.0,218.0,247.0,269.0,295.0,331.0,385.0,485.0,591.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,2772.0,2772.0,3151.0,3151.0,3768.0,3768.0,4896.0,4896.0,7759.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,100.0,271.0,271.0,100.0,91.0,91.0,3.0,00:09:48:52
Sep 25 2023 - 00:15:00,Sep 25 2023 - 00:30:00,ED4859-PCU,48591,10.28.73.18,MNG-KNVVB01,0.26,0.1,289.0,366.0,169.0,11.78,2924.47,248.16,11.62,1348.23,116.07,0.0,0.0,98.0,1.0,1.0,191.0,12.13,1382.2,113.95,8.31,702.68,84.54,11.49,1542.27,134.21,20.47,645.55,31.53,2.0,184.0,9189.0,0.0,0.0,5454.0,0.0,0.0,106.0,0.0,0.0,4.0,0.0,0.0,92.0,0.0,0.0,83.0,69.0,68.0,98.0,98.0,188.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,0.0,0.0,0.0,0.0,0.0,2584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6669.0,0.0,0.0,0.0,0.0,0.0,2870.0,1651.0,1787.0,1941.0,2127.0,2353.0,2625.0,2901.0,3315.0,4004.0,50.0,55.0,62.0,71.0,83.0,99.0,122.0,160.0,235.0,55.0,49.0,43.0,37.0,31.0,25.0,19.0,13.0,7.0,1969.0,2052.0,2142.0,2246.0,2385.0,2585.0,2897.0,3444.0,4845.0,46.0,41.0,36.0,31.0,26.0,21.0,16.0,11.0,6.0,1246.0,1311.0,1349.0,1399.0,1426.0,1453.0,1478.0,1518.0,1631.0,393.0,440.0,501.0,581.0,658.0,772.0,781.0,792.0,818.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,1677.0,1677.0,1730.0,1730.0,1730.0,1811.0,1811.0,1953.0,1953.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,100.0,189.0,189.0,100.0,96.0,96.0,1.0,00:10:03:52
Sep 25 2023 - 00:30:00,Sep 25 2023 - 00:45:00,ED4859-PCU,48591,10.28.73.18,MNG-KNVVB01,0.12,0.03,114.0,13.0,8.0,1.89,103.66,54.77,2.25,67.18,29.87,2.0,1.0,56.0,0.0,0.0,58.0,1.89,103.66,54.77,2.25,67.18,29.87,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,227.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,58.0,59.0,33.0,56.0,100.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1651.0,1787.0,1941.0,2127.0,2353.0,2625.0,2901.0,3315.0,4004.0,50.0,55.0,62.0,71.0,83.0,99.0,122.0,160.0,235.0,55.0,49.0,43.0,37.0,31.0,25.0,19.0,13.0,7.0,1969.0,2052.0,2142.0,2246.0,2385.0,2585.0,2897.0,3444.0,4845.0,46.0,41.0,36.0,31.0,26.0,21.0,16.0,11.0,6.0,1246.0,1311.0,1349.0,1399.0,1426.0,1453.0,1478.0,1518.0,1631.0,393.0,440.0,501.0,581.0,658.0,772.0,781.0,792.0,818.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,1677.0,1677.0,1730.0,1730.0,1730.0,1811.0,1811.0,1953.0,1953.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,100.0,58.0,58.0,100.0,57.0,57.0,0.0,00:10:18:52
Sep 25 2023 - 00:45:00,Sep 25 2023 - 01:00:00,ED4859-PCU,48591,10.28.73.18,MNG-KNVVB01,0.13,0.04,110.0,159.0,66.0,9.4,1269.27,134.99,4.72,524.4,110.99,0.0,0.0,55.0,11.0,6.0,55.0,9.43,1269.12,134.56,4.73,524.12,110.77,0.35,0.15,0.43,1.24,0.27,0.22,0.0,11.0,2265.0,0.0,0.0,1891.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,53.0,0.0,0.0,52.0,73.0,40.0,55.0,100.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2263.0,0.0,0.0,0.0,0.0,0.0,1888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1651.0,1787.0,1941.0,2127.0,2353.0,2625.0,2901.0,3315.0,4004.0,50.0,55.0,62.0,71.0,83.0,99.0,122.0,160.0,235.0,55.0,49.0,43.0,37.0,31.0,25.0,19.0,13.0,7.0,1969.0,2052.0,2142.0,2246.0,2385.0,2585.0,2897.0,3444.0,4845.0,46.0,41.0,36.0,31.0,26.0,21.0,16.0,11.0,6.0,1246.0,1311.0,1349.0,1399.0,1426.0,1453.0,1478.0,1518.0,1631.0,393.0,440.0,501.0,581.0,658.0,772.0,781.0,792.0,818.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,1677.0,1677.0,1730.0,1730.0,1730.0,1811.0,1811.0,1953.0,1953.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,100.0,55.0,55.0,100.0,54.0,54.0,0.0,00:10:33:52
Sep 25 2023 - 01:00:00,Sep 25 2023 - 01:15:00,ED4859-PCU,48591,10.28.73.18,MNG-KNVVB01,0.12,0.04,110.0,68.0,29.0,13.23,545.26,41.22,4.32,233.08,53.9,0.0,0.0,57.0,4.0,2.0,53.0,13.62,544.45,39.96,4.38,229.73,52.49,0.64,0.81,1.26,2.37,3.34,1.41,1.0,6.0,1007.0,0.0,0.0,856.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,49.0,0.0,0.0,49.0,58.0,33.0,57.0,100.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,1651.0,1787.0,1941.0,2127.0,2353.0,2625.0,2901.0,3315.0,4004.0,50.0,55.0,62.0,71.0,83.0,99.0,122.0,160.0,235.0,55.0,49.0,43.0,37.0,31.0,25.0,19.0,13.0,7.0,1969.0,2052.0,2142.0,2246.0,2385.0,2585.0,2897.0,3444.0,4845.0,46.0,41.0,36.0,31.0,26.0,21.0,16.0,11.0,6.0,1246.0,1311.0,1349.0,1399.0,1426.0,1453.0,1478.0,1518.0,1631.0,393.0,440.0,501.0,581.0,658.0,772.0,781.0,792.0,818.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,1677.0,1677.0,1730.0,1730.0,1730.0,1811.0,1811.0,1953.0,1953.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,100.0,53.0,53.0,100.0,57.0,57.0,0.0,00:10:48:52
Sep 25 2023 - 01:15:00,Sep 25 2023 - 01:30:00,ED4859-PCU,48591,10.28.73.18,MNG-KNVVB01,0.2,0.1,146.0,551.0,266.0,17.37,4408.38,253.86,8.31,2128.91,256.23,1.0,1.0,72.0,7.0,5.0,74.0,17.43,4406.79,252.77,8.57,2125.86,248.18,1.46,1.59,1.09,0.38,3.05,8.05,8.0,642.0,7754.0,0.0,0.0,7477.0,0.0,0.0,8.0,0.0,0.0,15.0,0.0,0.0,58.0,0.0,0.0,68.0,51.0,37.0,72.0,89.0,66.0,74.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7743.0,0.0,0.0,0.0,0.0,0.0,7461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,16.0,1936.0,2045.0,2168.0,2312.0,2379.0,2465.0,2749.0,2874.0,3017.0,72.0,79.0,86.0,103.0,114.0,129.0,181.0,230.0,317.0,12.0,11.0,10.0,8.0,7.0,6.0,4.0,3.0,2.0,1708.0,1720.0,1730.0,1742.0,1746.0,1753.0,1758.0,1765.0,1778.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,74.0,74.0,100.0,72.0,72.0,0.0,00:11:03:52
Sep 25 2023 - 01:30:00,Sep 25 2023 - 01:45:00,ED4859-PCU,48591,10.28.73.18,MNG-KNVVB01,0.06,0.03,89.0,23.0,7.0,8.37,185.81,22.2,1.12,57.55,51.55,0.0,0.0,42.0,4.0,2.0,47.0,8.37,185.81,22.2,1.12,57.55,51.55,0.0,0.0,0.0,0.0,0.0,0.0,7.0,25.0,353.0,0.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,47.0,93.0,39.0,42.0,98.0,46.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1936.0,2045.0,2168.0,2312.0,2379.0,2465.0,2749.0,2874.0,3017.0,72.0,79.0,86.0,103.0,114.0,129.0,181.0,230.0,317.0,12.0,11.0,10.0,8.0,7.0,6.0,4.0,3.0,2.0,1708.0,1720.0,1730.0,1742.0,1746.0,1753.0,1758.0,1765.0,1778.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,47.0,47.0,100.0,42.0,42.0,0.0,00:11:18:51
Sep 25 2023 - 01:45:00,Sep 25 2023 - 02:00:00,ED4859-PCU,48591,10.28.73.18,MNG-KNVVB01,0.05,0.03,64.0,43.0,15.0,12.12,340.44,28.1,4.73,120.21,25.4,3.0,1.0,29.0,0.0,0.0,35.0,12.12,340.44,28.1,4.73,120.21,25.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,615.0,0.0,0.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,35.0,100.0,29.0,29.0,100.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.0,0.0,0.0,0.0,0.0,0.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1936.0,2045.0,2168.0,2312.0,2379.0,2465.0,2749.0,2874.0,3017.0,72.0,79.0,86.0,103.0,114.0,129.0,181.0,230.0,317.0,12.0,11.0,10.0,8.0,7.0,6.0,4.0,3.0,2.0,1708.0,1720.0,1730.0,1742.0,1746.0,1753.0,1758.0,1765.0,1778.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,35.0,35.0,100.0,29.0,29.0,0.0,00:11:33:51
Sep 25 2023 - 02:00:00,Sep 25 2023 - 02:15:00,ED4859-PCU,48591,10.28.73.18,MNG-KNVVB01,0.05,0.02,64.0,24.0,9.0,6.0,189.41,31.56,2.73,71.1,26.0,0.0,0.0,31.0,6.0,2.0,33.0,6.24,187.85,30.1,2.51,58.79,23.45,1.06,1.55,1.46,4.83,12.31,2.55,4.0,14.0,355.0,0.0,1.0,285.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,22.0,0.0,0.0,28.0,84.0,26.0,31.0,100.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,56.0,1936.0,2045.0,2168.0,2312.0,2379.0,2465.0,2749.0,2874.0,3017.0,72.0,79.0,86.0,103.0,114.0,129.0,181.0,230.0,317.0,12.0,11.0,10.0,8.0,7.0,6.0,4.0,3.0,2.0,1708.0,1720.0,1730.0,1742.0,1746.0,1753.0,1758.0,1765.0,1778.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,33.0,33.0,100.0,31.0,31.0,0.0,00:11:48:51
Sep 25 2023 - 02:15:00,Sep 25 2023 - 02:30:00,ED4859-PCU,48591,10.28.73.18,MNG-KNVVB01,0.05,0.03,73.0,43.0,19.0,11.42,343.24,30.06,4.73,151.89,32.09,0.0,0.0,35.0,0.0,0.0,38.0,11.52,343.01,29.78,4.77,151.22,31.67,0.84,0.23,0.28,1.6,0.67,0.42,2.0,13.0,625.0,0.0,0.0,571.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,29.0,0.0,0.0,36.0,89.0,31.0,35.0,100.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,0.0,0.0,0.0,0.0,0.0,567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1889.0,2003.0,2094.0,2186.0,2233.0,2349.0,2509.0,2667.0,2775.0,42.0,48.0,53.0,60.0,64.0,75.0,92.0,123.0,203.0,17.0,15.0,13.0,11.0,10.0,8.0,6.0,4.0,2.0,1699.0,1718.0,1732.0,1751.0,1766.0,1779.0,1801.0,1831.0,1849.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,38.0,38.0,100.0,35.0,35.0,0.0,00:12:03:51
